naslov,platforma 
Agent A: A Puzzle In Disguise,PlayStation 4
Agent A: A Puzzle In Disguise,Xbox One
World to the West,Xbox One
World to the West,PlayStation 4
World to the West,Switch
World to the West,Wii U
Atelier Rorona Plus: The Alchemist of Arland,PlayStation Vita
Space Channel 5 Special Edition,PlayStation 2
Emergency Fire Response,PC
Downhill Domination,PlayStation 2
Lunar Legend,Game Boy Advance
2002 FIFA World Cup,Xbox
2002 FIFA World Cup,PlayStation 2
Breath of Fire,Game Boy Advance
Sky Odyssey,PlayStation 2
Mario Party,Nintendo 64
N+,PSP
N+,Xbox 360
Spider-Man 3,DS
Spider-Man 3,PlayStation 3
Spider-Man 3,Xbox 360
Untitled Goose Game,PC
Untitled Goose Game,Switch
Untitled Goose Game,Xbox One
Silent Hill: Shattered Memories,Wii
Marble Blast Ultra,Xbox 360
echochrome ii,PlayStation 3
The Metronomicon,PC
The Metronomicon,Xbox One
Pro Evolution Soccer 2011,Xbox 360
Pro Evolution Soccer 2011,iPhone/iPad
Pro Evolution Soccer 2011,PC
Pro Evolution Soccer 2011,PlayStation 2
Pro Evolution Soccer 2011,PlayStation 3
Part Time UFO,Switch
Rival Megagun,PlayStation 4
Rival Megagun,Switch
Rival Megagun,Xbox One
The Book of Unwritten Tales 2,Xbox One
The Book of Unwritten Tales 2,PC
The Book of Unwritten Tales 2,PlayStation 3
The Book of Unwritten Tales 2,PlayStation 4
The Book of Unwritten Tales 2,Switch
The Book of Unwritten Tales 2,Wii U
The Book of Unwritten Tales 2,Xbox 360
Tom Clancy's Rainbow Six Siege,PC
Tom Clancy's Rainbow Six Siege,Xbox One
The Settlers 7: Paths to a Kingdom,PC
RollerCoaster Tycoon 3: Soaked!,PC
BlazBlue: Cross Tag Battle,Switch
BlazBlue: Cross Tag Battle,PlayStation 4
WRC 9 FIA World Rally Championship,PC
WRC 9 FIA World Rally Championship,PlayStation 5
WRC 9 FIA World Rally Championship,Xbox One
WRC 9 FIA World Rally Championship,Xbox Series X
Rune Factory Frontier,Wii
Mantis Burn Racing,Xbox One
Mantis Burn Racing,PlayStation 4
Mantis Burn Racing,Switch
Mighty Switch Force!,3DS
EVERSPACE,PC
EVERSPACE,Xbox One
Dark Souls II: Crown of the Old Iron King,PC
Dark Souls II: Crown of the Old Iron King,Xbox 360
TrackMania 2 Valley,PC
Skies of Fury DX,Switch
State of Decay,PC
Rock Band 3,DS
Rock Band 3,Xbox 360
High Hell,PC
Tom Clancy's The Division 2: Warlords of New York,PC
Tom Clancy's The Division 2: Warlords of New York,Xbox One
EA Sports UFC 2,PlayStation 4
F1 2013,Xbox 360
F1 2013,PlayStation 3
LEGO Harry Potter: Years 1-4,PC
LEGO Harry Potter: Years 1-4,PlayStation 3
LEGO Harry Potter: Years 1-4,Xbox 360
World of Warcraft: Battle for Azeroth,PC
Mirror's Edge,PlayStation 3
Mirror's Edge,Xbox 360
The Gardens Between,Switch
The Gardens Between,PC
The Gardens Between,PlayStation 4
The Gardens Between,Stadia
The Gardens Between,Xbox One
Sid Meier's Civilization VI: Rise and Fall,PC
Mechstermination Force,Switch
Mechstermination Force,PlayStation 4
Blue Dragon,Xbox 360
Final Fight: Double Impact,PlayStation 3
DOOM Eternal: The Ancient Gods Part One,PC
DOOM Eternal: The Ancient Gods Part One,Stadia
DOOM Eternal: The Ancient Gods Part One,Xbox One
Mafia: Definitive Edition,Xbox One
Mafia: Definitive Edition,PlayStation 4
Moving Out,PC
Moving Out,Switch
Moving Out,Xbox One
WRC 8 FIA World Rally Championship,PlayStation 4
WRC 8 FIA World Rally Championship,Switch
WRC 8 FIA World Rally Championship,Xbox One
Druidstone: The Secret of the Menhir Forest,PC
World End Syndrome,Switch
God's Trigger,Xbox One
God's Trigger,PlayStation 4
Tacoma,PlayStation 4
Tacoma,Xbox One
Call of Duty: WWII,PlayStation 4
Call of Duty: WWII,Xbox One
Monster Hunter Stories,3DS
Noitu Love: Devolution,Wii U
Noitu Love: Devolution,PC
Extreme Exorcism,Wii U
Extreme Exorcism,PlayStation 3
Extreme Exorcism,PlayStation 4
Extreme Exorcism,Xbox One
CastleStorm,PlayStation Vita
CastleStorm,PlayStation 3
CastleStorm,PlayStation 3
CastleStorm,PlayStation 4
CastleStorm,Switch
CastleStorm,Wii U
CastleStorm,Xbox 360
CastleStorm,Xbox One
Rift: Storm Legion,PC
Wizorb,PSP
Wizorb,PC
Tom Clancy's Ghost Recon: Future Soldier,PlayStation 3
Tom Clancy's Ghost Recon: Future Soldier,Xbox 360
Madden NFL 12,PlayStation 3
Madden NFL 12,PlayStation 2
Madden NFL 12,Xbox 360
Crayon Physics Deluxe,PC
Tony Hawk's Proving Ground,DS
Tony Hawk's Proving Ground,PlayStation 3
Tony Hawk's Proving Ground,Xbox 360
Nancy Drew: Legend of the Crystal Skull,PC
Mario Strikers Charged,Wii
Mega Man Maverick Hunter X,PSP
EverQuest II: Desert of Flames,PC
Madden NFL 2005,Game Boy Advance
Madden NFL 2005,PlayStation 2
SimCity 4: Rush Hour,PC
The Simpsons: Hit & Run,GameCube
The Simpsons: Hit & Run,PlayStation 2
Tenchu: Wrath of Heaven,PlayStation 2
Uncommon Valor: Campaign for the South Pacific,PC
Deathrow,Xbox
Global Operations,PC
Burnout,PlayStation 2
Mega Man Battle Network,Game Boy Advance
StarLancer,Dreamcast
Shadow Warrior 2,PC
Shadow Warrior 2,Xbox One
Dance Dance Revolution Ultramix 2,Xbox
Apotheon,PC
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,Xbox One
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,PlayStation 4
Need for Speed: Most Wanted - A Criterion Game,PC
Need for Speed: Most Wanted - A Criterion Game,PlayStation Vita
Need for Speed: Most Wanted - A Criterion Game,Wii U
Need for Speed: Most Wanted - A Criterion Game,Xbox 360
Star Wars Battlefront II,PC
Star Wars Battlefront II,Xbox One
The Walking Dead: Season Two Episode 1 - All That Remains,PC
The Walking Dead: Season Two Episode 1 - All That Remains,PlayStation 3
The Walking Dead: Season Two Episode 1 - All That Remains,PlayStation Vita
The Walking Dead: Season Two Episode 1 - All That Remains,Xbox 360
WWE SmackDown vs. Raw 2010,Wii
WWE SmackDown vs. Raw 2010,PlayStation 2
WWE SmackDown vs. Raw 2010,PlayStation 3
WWE SmackDown vs. Raw 2010,Xbox 360
Roogoo,Xbox 360
Golf Story,Switch
DG2: Defense Grid 2,Xbox One
DG2: Defense Grid 2,PlayStation 4
DG2: Defense Grid 2,Switch
The Journey Down: Chapter Two,PC
The Journey Down: Chapter Two,PlayStation 4
The Journey Down: Chapter Two,Switch
The Journey Down: Chapter Two,Xbox One
Muramasa Rebirth,PlayStation Vita
Star Trek: Elite Force II,PC
Tiger Woods PGA Tour 11,PlayStation 3
Tiger Woods PGA Tour 11,Xbox 360
Sega Ages: Puyo Puyo 2,Switch
Pinball FX3,PlayStation 4
Pinball FX3,Switch
Pinball FX3,Xbox One
This War of Mine: The Little Ones,Xbox One
This War of Mine: The Little Ones,PC
This War of Mine: The Little Ones,PlayStation 4
Call of Juarez: Bound in Blood,PlayStation 3
Call of Juarez: Bound in Blood,Xbox 360
Zuma's Revenge!,PC
Zuma's Revenge!,iPhone/iPad
Zuma's Revenge!,PlayStation 3
Zuma's Revenge!,Xbox 360
BattleTech,PC
Xanadu Next,PC
Obliteracers,PC
Obliteracers,Xbox One
ZEN Pinball 2: Balls of Glory,PlayStation 4
ZEN Pinball 2: Balls of Glory,PlayStation 3
ZEN Pinball 2: Balls of Glory,PlayStation Vita
The Denpa Men: They Came By Wave,3DS
Traxxpad,PSP
Alien Hominid,GameCube
Othercide,PC
Othercide,Switch
Othercide,Xbox One
Relicta,Xbox One
Relicta,PlayStation 4
Relicta,Stadia
Torchlight II,Xbox One
Torchlight II,PlayStation 4
Torchlight II,Switch
Hasbro Family Game Night: Yahtzee,Xbox 360
Detroit: Become Human,PlayStation 4
Tiger Woods PGA Tour,PSP
Tiger Woods PGA Tour,PlayStation 2
Broken Sword: Shadow of the Templars - The Director's Cut,DS
Broken Sword: Shadow of the Templars - The Director's Cut,PC
Layers of Fear,Xbox One
Layers of Fear,PC
Layers of Fear,PlayStation 4
Baldur's Gate: Enhanced Edition,PC
Baldur's Gate: Enhanced Edition,PlayStation 4
Baldur's Gate: Enhanced Edition,Switch
Baldur's Gate: Enhanced Edition,Xbox One
Disgaea 3: Absence of Justice,PlayStation 3
DOOM 3: Resurrection of Evil,PC
DOOM 3: Resurrection of Evil,Xbox 360
LEGO Indiana Jones: The Original Adventures,PC
LEGO Indiana Jones: The Original Adventures,PlayStation 3
LEGO Indiana Jones: The Original Adventures,Xbox 360
Yakuza 4,PlayStation 3
GreedFall,Xbox One
GreedFall,PlayStation 4
Descenders,PC
Descenders,PlayStation 4
Descenders,Switch
Descenders,Xbox One
Angry Birds VR: Isle of Pigs,PC
EVERSPACE,PlayStation 4
EVERSPACE,Xbox One
Deathsmiles,PC
Deathsmiles,Xbox 360
The Sims 3,PlayStation 3
The Sims 3,iPhone/iPad
The Sims 3,PC
The Sims 3,Xbox 360
Wade Hixton's Counter Punch,Game Boy Advance
Baldur's Gate: Dark Alliance II,PlayStation 2
NASCAR Thunder 2004,PC
Dave Mirra Freestyle BMX 3,Game Boy Advance
Contra: Shattered Soldier,PlayStation 2
Freekstyle,GameCube
Dynasty Warriors 3,PlayStation 2
Shadow of Destiny,PlayStation 2
Midnight Club: Street Racing,PlayStation 2
Swing Away Golf,PlayStation 2
Harvest Moon 64,Nintendo 64
Sphinx and the Cursed Mummy,PlayStation 2
Sphinx and the Cursed Mummy,Switch
Sphinx and the Cursed Mummy,Xbox 360
Skylanders: Spyro's Adventure,Xbox 360
Skylanders: Spyro's Adventure,PC
Skylanders: Spyro's Adventure,PlayStation 3
Lost Ember,PC
Lost Ember,Switch
Lost Ember,Xbox One
NHL 17,PlayStation 4
Madden NFL 12,Xbox 360
Madden NFL 12,PlayStation 2
Madden NFL 12,PlayStation 3
inFamous: Festival of Blood,PlayStation 3
A Way Out,PlayStation 4
A Way Out,Xbox One
The Sims 4: City Living,PC
Rock Band Blitz,PlayStation 3
Lost Odyssey,Xbox 360
Rez,PlayStation 2
Klonoa 2: Dream Champ Tournament,Game Boy Advance
Aokana - Four Rhythms Across the Blue,Switch
For Honor: Marching Fire,PlayStation 4
Death Road to Canada,PlayStation 4
Death Road to Canada,PC
Death Road to Canada,Switch
Death Road to Canada,Xbox One
Doki Doki Literature Club!,PC
Far Cry Instincts Evolution,Xbox
Fallout 4 VR,PC
Indivisible,PC
Indivisible,Switch
Indivisible,Xbox One
Transformers: Fall of Cybertron,PC
Transformers: Fall of Cybertron,Xbox 360
Gurumin: A Monstrous Adventure,PSP
Gurumin: A Monstrous Adventure,PC
Vanquish,PC
Vanquish,PlayStation 4
Vanquish,Xbox 360
Vanquish,Xbox One
Oddworld: Abe's Oddysee - New 'n' Tasty,Switch
Oddworld: Abe's Oddysee - New 'n' Tasty,PC
Oddworld: Abe's Oddysee - New 'n' Tasty,PlayStation 3
Oddworld: Abe's Oddysee - New 'n' Tasty,PlayStation 4
Oddworld: Abe's Oddysee - New 'n' Tasty,PlayStation Vita
Oddworld: Abe's Oddysee - New 'n' Tasty,Wii U
Oddworld: Abe's Oddysee - New 'n' Tasty,Xbox One
Octahedron: Transfixed Edition,Switch
Octahedron: Transfixed Edition,PlayStation 4
Octahedron: Transfixed Edition,Xbox One
Madden NFL 07,PSP
Madden NFL 07,PlayStation 2
Madden NFL 07,PlayStation 3
Madden NFL 07,Xbox 360
FIFA Soccer 06,PC
Yoshi's Woolly World,Wii U
Stellaris,PC
Stellaris,Xbox One
The House of the Dead: Overkill,Wii
The Jackbox Party Pack 5,Switch
The Jackbox Party Pack 5,PlayStation 4
The Jackbox Party Pack 5,Xbox One
Super Rude Bear Resurrection,PlayStation 4
Bomberman Land Touch!,DS
Big Bang Mini,DS
Mortal Kombat 11,Switch
Mortal Kombat 11,PlayStation 4
Mortal Kombat 11,Stadia
Mortal Kombat 11,Xbox One
Wasteland 3,PlayStation 4
Wasteland 3,Xbox One
SIREN: Blood Curse,PlayStation 3
WWE '13,Xbox 360
Tell Me Why,Xbox One
Pro Evolution Soccer 2010,PlayStation 3
Pro Evolution Soccer 2010,PlayStation 2
Pro Evolution Soccer 2010,Xbox 360
Hotel Dusk: Room 215,DS
Ibb & Obb,Switch
Ibb & Obb,PlayStation 3
Double Dragon & Kunio-kun Retro Brawler Bundle,Switch
Borderlands 3,PlayStation 4
Borderlands 3,PlayStation 5
Borderlands 3,Stadia
Borderlands 3,Xbox One
Borderlands 3,Xbox Series X
King's Quest Chapter 5: The Good Knight,PlayStation 4
King's Quest Chapter 5: The Good Knight,PlayStation 3
King's Quest Chapter 5: The Good Knight,Xbox 360
King's Quest Chapter 5: The Good Knight,Xbox One
Prototype,Xbox 360
Prototype,PlayStation 3
Prototype,PlayStation 4
Prototype,Xbox One
Project: Snowblind,PlayStation 2
The Thing,PlayStation 2
DeathSpank: Thongs of Virtue,Xbox 360
DeathSpank: Thongs of Virtue,PlayStation 3
Hatsune Miku: Project Diva X,PlayStation 4
Granblue Fantasy: Versus,PlayStation 4
Atelier Lulua: The Scion of Arland,Switch
Atelier Lulua: The Scion of Arland,PlayStation 4
Alien: Isolation,Xbox One
Alien: Isolation,PlayStation 3
Alien: Isolation,PlayStation 4
Alien: Isolation,Switch
Alien: Isolation,Xbox 360
DeadCore,PC
DeadCore,Xbox One
Conker: Live & Reloaded,Xbox
Castlevania: The Adventure ReBirth,Wii
The Walking Dead: Season Two Episode 5 - No Going Back,PC
The Walking Dead: Season Two Episode 5 - No Going Back,PlayStation 3
The Walking Dead: Season Two Episode 5 - No Going Back,PlayStation Vita
The Walking Dead: Season Two Episode 5 - No Going Back,Xbox 360
MLB 2005,PlayStation 2
Neverwinter Nights: Shadows of Undrentide,PC
Knockout Kings 2003,GameCube
Konami Collector's Series: Arcade Advanced,Game Boy Advance
Gradius Galaxies,Game Boy Advance
Tales of Destiny II,PlayStation
Metal Gear Solid: Snake Eater 3D,3DS
Overcooked!,PlayStation 4
Overcooked!,Switch
Overcooked!,Xbox One
Marvel: Ultimate Alliance,PlayStation 3
Marvel: Ultimate Alliance,PlayStation 2
Marvel: Ultimate Alliance,PlayStation 4
Marvel: Ultimate Alliance,Xbox 360
Marvel: Ultimate Alliance,Xbox One
Grand Kingdom,PlayStation 4
Dauntless,PC
Dauntless,Switch
Dauntless,Xbox One
Fuser,Xbox One
Fuser,PlayStation 4
Fuser,Switch
Noita,PC
Freedom Finger,Xbox One
Freedom Finger,PlayStation 4
Freedom Finger,Switch
Bridge Constructor Portal,PlayStation 4
Bridge Constructor Portal,PC
Bridge Constructor Portal,Switch
Bridge Constructor Portal,Xbox One
Wuppo,PC
Wuppo,Switch
Wuppo,Xbox One
Joe Danger 2: The Movie,PlayStation 3
Joe Danger 2: The Movie,PlayStation Vita
Joe Danger 2: The Movie,Xbox 360
Robocalypse,DS
For Honor,PlayStation 4
For Honor,PlayStation 5
For Honor,Xbox One
For Honor,Xbox Series X
The Disney Afternoon Collection,PC
The Disney Afternoon Collection,Xbox One
Closure,PC
Dead Rising 2,PC
Dead Rising 2,PlayStation 4
Dead Rising 2,Xbox 360
Dead Rising 2,Xbox One
Insurgency: Sandstorm,PC
TumbleSeed,Switch
TumbleSeed,PlayStation 4
Murder by Numbers,PC
SUPERHOT: MIND CONTROL DELETE,PC
SUPERHOT: MIND CONTROL DELETE,Xbox One
The Walking Dead: The Telltale Series - The Final Season,Xbox One
The Walking Dead: The Telltale Series - The Final Season,PlayStation 4
The Walking Dead: The Telltale Series - The Final Season,Switch
Forgotton Anne,PlayStation 4
Forgotton Anne,PC
Forgotton Anne,Switch
Forgotton Anne,Xbox One
Call of Duty: Advanced Warfare,PC
Call of Duty: Advanced Warfare,PlayStation 4
Call of Duty: Advanced Warfare,Xbox 360
Call of Duty: Advanced Warfare,Xbox One
MotorStorm RC,PlayStation Vita
AstroPop,Xbox 360
Dragon Quest VI: Realms of Revelation,DS
Theatrhythm Final Fantasy,3DS
Teleglitch: Die More Edition,PC
Age of Empires: Mythologies,DS
Project Warlock,PC
Project Warlock,Switch
Project Warlock,Xbox One
Donkey Kong Country,Game Boy Advance
Zero Escape: Zero Time Dilemma,PC
Zero Escape: Zero Time Dilemma,PlayStation 4
Zero Escape: Zero Time Dilemma,PlayStation Vita
LEGO Marvel Super Heroes,PC
LEGO Marvel Super Heroes,PlayStation 4
LEGO Marvel Super Heroes,Wii U
LEGO Marvel Super Heroes,Xbox 360
LEGO Marvel Super Heroes,Xbox One
League of Legends,PC
Rabbids Go Home,Wii
"Warhammer 40,000: Mechanicus",PC
"Warhammer 40,000: Mechanicus",Switch
"Warhammer 40,000: Mechanicus",Xbox One
The Movies: Stunts & Effects,PC
Observer,PC
Observer,Switch
Observer,Xbox One
Mobile Suit Gundam: Extreme VS. MaxiBoost ON,PlayStation 4
Golf Peaks,Switch
Golf Peaks,PC
Deus Ex: Human Revolution - The Missing Link,PlayStation 3
Deus Ex: Human Revolution - The Missing Link,Xbox 360
Asphalt 4: Elite Racing,DS
Shaun White Snowboarding: Road Trip,Wii
Shaun White Snowboarding: Road Trip,PlayStation 2
Shaun White Snowboarding: Road Trip,PlayStation 3
Shaun White Snowboarding: Road Trip,Xbox 360
Shox,PlayStation 2
Super Ghouls 'n Ghosts,Game Boy Advance
The Thing,Xbox
The Thing,PlayStation 2
Tropico: Paradise Island,PC
NASCAR Heat 2002,Xbox
MechWarrior 4: Black Knight Expansion,PC
Cool Boarders 2001,PlayStation 2
Ridge Racer V,PlayStation 2
NFL Blitz 2001,Dreamcast
Apollo Justice: Ace Attorney,DS
Apollo Justice: Ace Attorney,iPhone/iPad
The Surge 2,Xbox One
The Surge 2,PlayStation 4
Rune Factory: A Fantasy Harvest Moon,DS
The Tomb Raider Trilogy,PlayStation 3
1001 Spikes,PlayStation 4
1001 Spikes,PC
1001 Spikes,PlayStation Vita
1001 Spikes,Wii U
1001 Spikes,Xbox One
The Walking Dead: 400 Days,PlayStation 3
The Walking Dead: 400 Days,PC
The Walking Dead: 400 Days,PlayStation Vita
The Walking Dead: 400 Days,Xbox 360
Disney Guilty Party,Wii
Sairento VR,PC
Skylanders Imaginators,Xbox One
Skylanders Imaginators,PlayStation 4
Skylanders Imaginators,Switch
Skylanders Imaginators,Wii U
Skylanders Imaginators,Xbox 360
Warp,PlayStation 3
Warp,Xbox 360
Wild Arms 3,PlayStation 2
Tales of Xillia,PlayStation 3
Ken Follett's The Pillars of the Earth,PC
Ken Follett's The Pillars of the Earth,PlayStation 4
Ken Follett's The Pillars of the Earth,Xbox One
Shadow Warrior 2,Xbox One
Shadow Warrior 2,PlayStation 4
Hatsune Miku: Project Diva F 2nd,PlayStation 3
Karaoke Revolution Party,PlayStation 2
The Adventures of Cookie & Cream,PlayStation 2
Swords & Soldiers HD,Wii U
Swords & Soldiers HD,PC
Swords & Soldiers HD,PlayStation 3
Swords & Soldiers HD,Switch
Pro Evolution Soccer 2011,Wii
Pro Evolution Soccer 2011,iPhone/iPad
Pro Evolution Soccer 2011,PC
Pro Evolution Soccer 2011,PlayStation 2
Pro Evolution Soccer 2011,PlayStation 3
Pro Evolution Soccer 2011,Xbox 360
Tom Clancy's Rainbow Six: Vegas 2,PC
Tom Clancy's Rainbow Six: Vegas 2,Xbox 360
"Blast Works: Build, Trade, Destroy",Wii
In Other Waters,Switch
The Room VR: A Dark Matter,PC
LEGO Star Wars: The Force Awakens,PlayStation 4
LEGO Star Wars: The Force Awakens,iPhone/iPad
LEGO Star Wars: The Force Awakens,PC
LEGO Star Wars: The Force Awakens,PlayStation 3
LEGO Star Wars: The Force Awakens,PlayStation Vita
LEGO Star Wars: The Force Awakens,Wii U
LEGO Star Wars: The Force Awakens,Xbox 360
LEGO Star Wars: The Force Awakens,Xbox One
Yonder: The Cloud Catcher Chronicles,Xbox One
Yonder: The Cloud Catcher Chronicles,PlayStation 4
Yonder: The Cloud Catcher Chronicles,Switch
Arcade Spirits,PC
Arcade Spirits,Switch
Arcade Spirits,Xbox One
Musynx,Switch
Musynx,PC
Musynx,PlayStation 4
Musynx,PlayStation Vita
Runner3,PC
Runner3,Switch
Dungeon of the Endless,Xbox One
Dungeon of the Endless,PC
Dungeon of the Endless,PlayStation 4
Dungeon of the Endless,Switch
Blaster Master Zero,Switch
Blaster Master Zero,PC
Blaster Master Zero,PlayStation 4
Unravel,PlayStation 4
Unravel,Xbox One
Sonic & Sega All-Stars Racing,Wii
Sonic & Sega All-Stars Racing,PC
Sonic & Sega All-Stars Racing,PlayStation 3
Sonic & Sega All-Stars Racing,Xbox 360
Blackwood Crossing,Xbox One
Blackwood Crossing,PlayStation 4
Candleman,Xbox One
Candleman,PC
Candleman,PlayStation 4
Candleman,Switch
Fluidity: Spin Cycle,3DS
Super Street Fighter IV: Arcade Edition,Xbox 360
Super Street Fighter IV: Arcade Edition,PlayStation 3
Burnout Paradise Remastered,Switch
Burnout Paradise Remastered,PlayStation 4
Burnout Paradise Remastered,Xbox One
Arc the Lad Collection,PlayStation
Resident Evil: Revelations Collection,Switch
Battle Chasers: Nightwar,PC
Battle Chasers: Nightwar,PlayStation 4
Battle Chasers: Nightwar,Switch
Battle Chasers: Nightwar,Xbox One
FIFA Soccer 2005,GameCube
FIFA Soccer 2005,PlayStation 2
Tom Clancy's Splinter Cell Pandora Tomorrow,GameCube
Tom Clancy's Splinter Cell Pandora Tomorrow,PlayStation 3
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox 360
Hitman: Contracts,Xbox
Hitman: Contracts,PlayStation 2
Puzzle Pirates,PC
The Lord of the Rings: The Return of the King,PC
Crimson Sea,Xbox
2002 FIFA World Cup,GameCube
2002 FIFA World Cup,PlayStation 2
Knockout Kings 2002,Xbox
Star Trek Starfleet Command: Orion Pirates,PC
CastleStorm,Switch
CastleStorm,PlayStation 3
CastleStorm,PlayStation 3
CastleStorm,PlayStation 4
CastleStorm,PlayStation Vita
CastleStorm,Wii U
CastleStorm,Xbox 360
CastleStorm,Xbox One
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,Xbox One
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,PlayStation 4
Two Worlds II: Pirates of the Flying Fortress,PC
Two Worlds II: Pirates of the Flying Fortress,Xbox 360
Battlefield V,Xbox One
Battlefield V,PlayStation 4
Forager,Switch
Forager,PlayStation 4
Forager,Xbox One
Devil May Cry 4,PC
Devil May Cry 4,Xbox 360
Breath of Fire: Dragon Quarter,PlayStation 2
The Procession to Calvary,PC
Soul Bubbles,DS
Praetorians,PC
Mario and Donkey Kong: Minis on the Move,3DS
Naruto: Rise of a Ninja,Xbox 360
Sonic Rush Adventure,DS
Stealth Inc: A Clone in the Dark,PlayStation Vita
Stealth Inc: A Clone in the Dark,PlayStation 3
Transference,PC
Transference,Xbox One
Not Tonight: Take Back Control Edition,Switch
Call of Duty Classic,PlayStation 3
Call of Duty Classic,Xbox 360
Bust-A-Move Live!,Xbox 360
MLB 09: The Show,PSP
MLB 09: The Show,PlayStation 3
Blasphemous,PlayStation 4
Blasphemous,Switch
Blasphemous,Xbox One
The Persistence VR,PlayStation 4
Bejeweled 3,Xbox 360
Bejeweled 3,PlayStation 3
Tiger Woods PGA Tour 07,PSP
Tiger Woods PGA Tour 07,PlayStation 2
Tiger Woods PGA Tour 07,PlayStation 3
Tiger Woods PGA Tour 07,Xbox 360
Life is Strange 2,PlayStation 4
Life is Strange 2,Xbox One
Forma.8,PlayStation 4
Forma.8,PC
Forma.8,PlayStation Vita
Forma.8,Switch
Forma.8,Wii U
Forma.8,Xbox One
Shin Megami Tensei: Persona,PSP
Toy Story 3,PlayStation 3
Toy Story 3,PC
Toy Story 3,Xbox 360
Call of Duty: Black Ops - First Strike,Xbox 360
Call of Duty: Black Ops - First Strike,PlayStation 3
Silent Hill: Origins,PSP
Sniper Elite 4,PC
Sniper Elite 4,Switch
Sniper Elite 4,Xbox One
Mutant Year Zero: Road to Eden,PC
Mutant Year Zero: Road to Eden,Xbox One
Capcom Beat 'Em Up Bundle,Switch
Capcom Beat 'Em Up Bundle,PlayStation 4
Capcom Beat 'Em Up Bundle,Xbox One
EA Sports Active 2,PlayStation 3
EA Sports Active 2,Xbox 360
Final Fantasy XIV Online: A Realm Reborn,PlayStation 3
Final Fantasy XIV Online: A Realm Reborn,PlayStation 4
Chime Super Deluxe,PlayStation 3
DeathSpank: Thongs of Virtue,PlayStation 3
DeathSpank: Thongs of Virtue,Xbox 360
Lost Planet: Extreme Condition Colonies Edition,Xbox 360
Chaos on Deponia,PC
Chaos on Deponia,Switch
Chaos on Deponia,Xbox One
Ashen,Xbox One
Ashen,PlayStation 4
Ashen,Switch
James Bond 007: NightFire,Xbox
"That Dragon, Cancer",PC
Spellbreak,Xbox One
Spellbreak,PlayStation 4
Spellbreak,Switch
Control: The Foundation,PlayStation 4
Control: The Foundation,Xbox One
Life is Strange 2: Episode 3 - Wastelands,PC
Life is Strange 2: Episode 3 - Wastelands,Xbox One
The Missing: JJ Macfield and the Island of Memories,PC
The Missing: JJ Macfield and the Island of Memories,Switch
The Missing: JJ Macfield and the Island of Memories,Xbox One
Mothergunship,PlayStation 4
Mothergunship,Xbox One
Human Resource Machine,PC
Human Resource Machine,Switch
Human Resource Machine,Wii U
Adventures of Pip,Wii U
Adventures of Pip,PC
Adventures of Pip,PlayStation 4
Adventures of Pip,Switch
Adventures of Pip,Xbox One
OlliOlli,PC
OlliOlli,PlayStation 3
OlliOlli,PlayStation 4
OlliOlli,PlayStation Vita
OlliOlli,Wii U
OlliOlli,Xbox One
Strider,PC
Strider,PlayStation 4
Strider,Xbox 360
Strider,Xbox One
Dead Space 3,PC
Dead Space 3,Xbox 360
Anno 1701: Dawn of Discovery,DS
Tomb Raider: Anniversary,PSP
Tomb Raider: Anniversary,PlayStation 2
Tomb Raider: Anniversary,Xbox 360
Metal Gear Solid: Digital Graphic Novel,PSP
Condemned: Criminal Origins,PC
Blitz: The League,Xbox
Blitz: The League,Xbox 360
Capcom Classics Collection,PlayStation 2
Shin Megami Tensei: Digital Devil Saga,PlayStation 2
Culdcept,PlayStation 2
MVP Baseball 2003,PC
Midtown Madness 2,PC
Need for Speed: Porsche Unleashed,PlayStation
The Wonderful 101,Wii U
Kingdom Under Fire: Heroes,Xbox
Fatal Frame III: The Tormented,PlayStation 2
WWE SmackDown vs. Raw 2009,PlayStation 3
WWE SmackDown vs. Raw 2009,Xbox 360
Mario Golf: World Tour,3DS
Street Fighter Anniversary Collection,PlayStation 2
New Play Control! Donkey Kong Jungle Beat,Wii
NHL 16,PlayStation 4
Rock Band 4,PlayStation 4
Karaoke Revolution Presents: American Idol,PlayStation 2
Crash Commando,PlayStation 3
Dragon's Dogma: Dark Arisen,PlayStation 4
Dragon's Dogma: Dark Arisen,PlayStation 3
Dragon's Dogma: Dark Arisen,Switch
Dragon's Dogma: Dark Arisen,Xbox 360
Dragon's Dogma: Dark Arisen,Xbox One
Mushroom 11,PC
Murder by Numbers,Switch
A Way Out,PC
A Way Out,Xbox One
Dragon's Dogma: Dark Arisen,Switch
Dragon's Dogma: Dark Arisen,PlayStation 3
Dragon's Dogma: Dark Arisen,PlayStation 4
Dragon's Dogma: Dark Arisen,Xbox 360
Dragon's Dogma: Dark Arisen,Xbox One
Killzone: Mercenary,PlayStation Vita
My Friend Pedro,Switch
My Friend Pedro,PlayStation 4
My Friend Pedro,Xbox One
WarioWare Gold,3DS
Dragon's Dogma,PlayStation 3
Remnant: From the Ashes,PC
Remnant: From the Ashes,Xbox One
